Date,Price,Open,High,Low,Vol,Co,Hl,Ind,Rvn,Gap,Gaug,rVol,Tckr
2003-10-28,1.3099,1.3108,1.3166,1.3069,0.0,-0.06866036008543741,0.7422144004897158,90.749255196324,-0.07628346937217367,-0.007628346937216257,30.92783505154743,NaN,CAD
2003-10-29,1.3119,1.3099,1.3128,1.3061,0.0,0.15268341094740734,0.512977566801931,70.2358502927749,0.15268341094740734,0.0,86.56716417910582,NaN,CAD
2003-10-30,1.3148,1.3119,1.3151,1.3051,0.0,0.2210534339507575,0.7662248103593505,71.1503163350863,0.2210534339507575,0.0,97.00000000000033,NaN,CAD
2003-10-31,1.3169,1.3153,1.3225,1.3134,0.0,0.12164525203375298,0.692858230546678,82.44298087679891,0.15972010952236548,0.03802859750532406,38.46153846153865,NaN,CAD
2003-11-03,1.3338,1.3197,1.3377,1.3184,0.0,1.068424641964083,1.4638956310679463,27.014971608007176,1.2833168805528317,0.21262054825728072,79.79274611399057,NaN,CAD
2003-11-04,1.3308,1.3337,1.3432,1.3277,0.0,-0.21744020394391939,1.1674324018980053,81.37449298217128,-0.22492127755286973,-0.007497375918430471,19.999999999999428,NaN,CAD
2003-11-05,1.334,1.3303,1.3355,1.3278,0.0,0.278132752010829,0.5799066124416274,52.03835478961272,0.2404568680492991,-0.03757138563269535,80.5194805194822,NaN,CAD
2003-11-06,1.3411,1.3341,1.3413,1.3315,0.0,0.5246982984783655,0.7360120165227135,28.710634242454226,0.5322338830584528,0.007496251874061777,97.95918367346962,NaN,CAD
2003-11-07,1.3214,1.3407,1.3421,1.32,0.0,-1.4395465055568102,1.6742424242424336,14.018036772172904,-1.4689434046678107,-0.0298262620237133,6.334841628958576,NaN,CAD
2003-11-10,1.3124,1.3235,1.3251,1.3086,0.0,-0.8386853041178588,1.2608895002292453,33.484630971597795,-0.6810958074769058,0.1589223550779506,23.03030303030324,NaN,CAD
2003-11-11,1.3132,1.3122,1.3162,1.3089,0.0,0.07620789513793635,0.5577202230880873,86.33582000739106,0.060957025297159184,-0.015239256324284245,58.90410958904001,NaN,CAD
2003-11-12,1.3036,1.3132,1.3134,1.2979,0.0,-0.7310386841303584,1.1942368441328233,38.786122055948546,-0.7310386841303584,0.0,36.77419354838771,NaN,CAD
2003-11-13,1.2978,1.3036,1.3048,1.2952,0.0,-0.4449217551396156,0.7411982705373799,39.97263986908109,-0.4449217551396156,0.0,27.083333333334828,NaN,CAD
2003-11-14,1.3025,1.2977,1.3044,1.2956,0.0,0.369885181474916,0.6792219820932255,45.54281350921472,0.36215133302510694,-0.0077053475111665826,78.40909090909057,NaN,CAD
2003-11-17,1.3141,1.3003,1.315,1.2984,0.0,1.0612935476428609,1.2784966112137974,16.988943237379818,0.8905950095969395,-0.16890595009596554,94.57831325301262,NaN,CAD
2003-11-18,1.2999,1.3138,1.317,1.2969,0.0,-1.0579996955396576,1.5498496414527052,31.73533307734464,-1.0805874743170185,-0.02282931283767997,14.925373134328918,NaN,CAD
2003-11-19,1.3031,1.2996,1.3065,1.2973,0.0,0.26931363496458527,0.7091651892392026,62.02385014787502,0.24617278252172525,-0.023078698361411742,63.0434782608692,NaN,CAD
2003-11-20,1.3032,1.3035,1.306,1.2975,0.0,-0.023014959723832717,0.6551059730250497,96.48683408921495,0.007674008134439525,0.03069603253780251,67.05882352940998,NaN,CAD
2003-11-21,1.3024,1.3038,1.3102,1.2991,0.0,-0.10737843227489607,0.8544376876299165,87.43285393078249,-0.061387354205022504,0.04604051565377798,29.729729729730163,NaN,CAD
2003-11-24,1.3173,1.3026,1.3219,1.3001,0.0,1.1285122063565023,1.6767940927620906,32.69822387687648,1.1440417690417704,0.015356265356269994,78.89908256880665,NaN,CAD
2003-11-25,1.3107,1.317,1.3195,1.3087,0.0,-0.47835990888382973,0.8252464277527238,42.034295115159814,-0.501024823502616,-0.022773855613755778,18.518518518518672,NaN,CAD
2003-11-26,1.3038,1.3114,1.3128,1.3,0.0,-0.5795333231660704,0.9846153846153838,41.14114686594592,-0.5264362554360247,0.053406576638437286,29.68750000000038,NaN,CAD
2003-11-27,1.307,1.3042,1.3097,1.3036,0.0,0.21469099831312732,0.4679349493709628,54.11947780311497,0.2454364166283085,0.030679552078538563,55.73770491803034,NaN,CAD
